A_Drug_ID,A_Drug_Name,B_Drug_ID,B_Drug_Name,Mechanism_Category
D1263,Phenelzine,D0640,Felodipine,Pharmacodynamic additive effects
D1263,Phenelzine,D0170,Bepridil,Pharmacodynamic additive effects
D1263,Phenelzine,D0352,Clevidipine,Pharmacodynamic additive effects
D1455,Selegiline,D0170,Bepridil,Pharmacodynamic additive effects
D1455,Selegiline,D0352,Clevidipine,Pharmacodynamic additive effects
D0853,Isocarboxazid,D0352,Clevidipine,Pharmacodynamic additive effects
D0933,Linezolid,D0321,Chlorothiazide,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0321,Chlorothiazide,Pharmacodynamic additive effects
D1263,Phenelzine,D0321,Chlorothiazide,Pharmacodynamic additive effects
D0933,Linezolid,D0644,Fenoldopam,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0644,Fenoldopam,Pharmacodynamic additive effects
D1263,Phenelzine,D0644,Fenoldopam,Pharmacodynamic additive effects
D0933,Linezolid,D1146,Nitroglycerin,Pharmacodynamic additive effects
D0933,Linezolid,D0861,Isosorbide dinitrate,Pharmacodynamic additive effects
D0933,Linezolid,D0862,Isosorbide mononitrate,Pharmacodynamic additive effects
D0933,Linezolid,D0083,Amyl Nitrite,Pharmacodynamic additive effects
D0933,Linezolid,D0860,Isosorbide,Pharmacodynamic additive effects
D0933,Linezolid,D1125,Nesiritide,Pharmacodynamic additive effects
D1345,Procarbazine,D0083,Amyl Nitrite,Pharmacodynamic additive effects
D1345,Procarbazine,D1125,Nesiritide,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0861,Isosorbide dinitrate,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0862,Isosorbide mononitrate,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0083,Amyl Nitrite,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0860,Isosorbide,Pharmacodynamic additive effects
D1620,Tranylcypromine,D1125,Nesiritide,Pharmacodynamic additive effects
D1263,Phenelzine,D0861,Isosorbide dinitrate,Pharmacodynamic additive effects
D1263,Phenelzine,D0862,Isosorbide mononitrate,Pharmacodynamic additive effects
D1263,Phenelzine,D0860,Isosorbide,Pharmacodynamic additive effects
D1263,Phenelzine,D1125,Nesiritide,Pharmacodynamic additive effects
D1455,Selegiline,D0083,Amyl Nitrite,Pharmacodynamic additive effects
D1455,Selegiline,D0860,Isosorbide,Pharmacodynamic additive effects
D1455,Selegiline,D1125,Nesiritide,Pharmacodynamic additive effects
D0853,Isocarboxazid,D0083,Amyl Nitrite,Pharmacodynamic additive effects
D0853,Isocarboxazid,D0860,Isosorbide,Pharmacodynamic additive effects
D0853,Isocarboxazid,D1125,Nesiritide,Pharmacodynamic additive effects
D0933,Linezolid,D0770,Hydralazine,Pharmacodynamic additive effects
D1263,Phenelzine,D0770,Hydralazine,Pharmacodynamic additive effects
D1455,Selegiline,D0770,Hydralazine,Pharmacodynamic additive effects
D0853,Isocarboxazid,D0770,Hydralazine,Pharmacodynamic additive effects
D0933,Linezolid,D0585,Eplerenone,Pharmacodynamic additive effects
D0933,Linezolid,D1643,Trimethaphan,Pharmacodynamic additive effects
D1620,Tranylcypromine,D1643,Trimethaphan,Pharmacodynamic additive effects
D1455,Selegiline,D1643,Trimethaphan,Pharmacodynamic additive effects
D0933,Linezolid,D0983,Mecamylamine,Pharmacodynamic additive effects
D0933,Linezolid,D0082,Amrinone,Pharmacodynamic additive effects
D1345,Procarbazine,D0082,Amrinone,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0082,Amrinone,Pharmacodynamic additive effects
D1263,Phenelzine,D0082,Amrinone,Pharmacodynamic additive effects
D1455,Selegiline,D0082,Amrinone,Pharmacodynamic additive effects
D0853,Isocarboxazid,D0082,Amrinone,Pharmacodynamic additive effects
D0933,Linezolid,D1223,Papaverine,Pharmacodynamic additive effects
D1620,Tranylcypromine,D1223,Papaverine,Pharmacodynamic additive effects
D1263,Phenelzine,D1223,Papaverine,Pharmacodynamic additive effects
D1455,Selegiline,D1223,Papaverine,Pharmacodynamic additive effects
D0933,Linezolid,D1682,Vardenafil,Pharmacodynamic additive effects
D0933,Linezolid,D1527,Tadalafil,Pharmacodynamic additive effects
D0933,Linezolid,D0128,Avanafil,Pharmacodynamic additive effects
D1345,Procarbazine,D0128,Avanafil,Pharmacodynamic additive effects
D1620,Tranylcypromine,D1682,Vardenafil,Pharmacodynamic additive effects
D1620,Tranylcypromine,D1527,Tadalafil,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0128,Avanafil,Pharmacodynamic additive effects
D1263,Phenelzine,D1682,Vardenafil,Pharmacodynamic additive effects
D1263,Phenelzine,D1527,Tadalafil,Pharmacodynamic additive effects
D1263,Phenelzine,D0128,Avanafil,Pharmacodynamic additive effects
D1455,Selegiline,D0128,Avanafil,Pharmacodynamic additive effects
D0853,Isocarboxazid,D0128,Avanafil,Pharmacodynamic additive effects
D0933,Linezolid,D0474,Diazoxide,Pharmacodynamic additive effects
D1620,Tranylcypromine,D0474,Diazoxide,Pharmacodynamic additive effects
D1263,Phenelzine,D0474,Diazoxide,Pharmacodynamic additive effects
D1455,Selegiline,D0474,Diazoxide,Pharmacodynamic additive effects
D0933,Linezolid,D0586,Epoprostenol,Pharmacodynamic additive effects
